Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
286000,1.4354107,999.0,11.951202,287.3307933807373,287.3307933807373,1.0
287000,1.4512818,999.0,12.01037,287.9130964279175,287.9130964279175,1.0
288000,1.4467113,None,12.11986,None,None,1.0
289000,1.4362227,999.0,12.434466,289.2612257003784,289.2612257003784,1.0
290000,1.4522055,868.0,11.946503,247.3142515818278,247.3142515818278,1.0
291000,1.4282621,139.0,12.053097,37.5697922706604,37.5697922706604,1.0
292000,1.4177333,None,12.405014,None,None,1.0
293000,1.4464741,999.0,12.208109,290.0555295944214,290.0555295944214,1.0
294000,1.43602,999.0,12.210424,285.5700216293335,285.5700216293335,1.0
295000,1.4412966,None,12.302698,None,None,1.0
296000,1.4318907,999.0,12.050072,287.98612689971924,287.98612689971924,1.0
297000,1.4251376,659.0,12.09602,287.64684438705444,287.64684438705444,1.0
298000,1.4466792,999.0,12.170498,89.24642848968506,89.24642848968506,1.0
299000,1.4670291,504.0,11.831871,141.6507124900818,141.6507124900818,1.0
300000,1.4627199,999.0,12.3437195,288.4406337738037,288.4406337738037,1.0
