Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
161000,1.6489961,None,7.7132106,None,None,1.0
162000,1.656062,999.0,7.8058386,273.5855131149292,273.5855131149292,1.0
163000,1.6794916,999.0,7.597471,273.74752616882324,273.74752616882324,1.0
164000,1.6638466,None,7.706822,None,None,1.0
165000,1.6349592,999.0,8.234865,278.8161344528198,278.8161344528198,1.0
166000,1.6470456,999.0,8.287962,274.2166357040405,274.2166357040405,1.0
167000,1.6497184,None,8.500466,None,None,1.0
168000,1.6462629,999.0,8.558737,273.7447843551636,273.7447843551636,1.0
169000,1.6336168,999.0,8.1896715,277.71841382980347,277.71841382980347,1.0
170000,1.6330882,None,8.435554,None,None,1.0
171000,1.6415858,999.0,8.413133,278.173810005188,278.173810005188,1.0
172000,1.6216035,999.0,8.36837,279.68370723724365,279.68370723724365,1.0
173000,1.641859,None,8.308214,None,None,1.0
174000,1.6467514,999.0,8.370833,276.4598731994629,276.4598731994629,1.0
175000,1.6396172,999.0,8.4911785,278.42703342437744,278.42703342437744,1.0
176000,1.6027033,None,9.215541,None,None,1.0
177000,1.6246635,999.0,9.126413,278.9772891998291,278.9772891998291,1.0
178000,1.6293017,999.0,8.861525,278.81369638442993,278.81369638442993,1.0
179000,1.6120933,415.0,9.075575,110.94485521316528,110.94485521316528,1.0
180000,1.6189332,999.0,8.939096,278.7329158782959,278.7329158782959,1.0
181000,1.6239293,999.0,8.958782,279.401104927063,279.401104927063,1.0
182000,1.6165057,999.0,8.972643,278.7726287841797,278.7726287841797,1.0
183000,1.6110204,999.0,8.830499,274.72161865234375,274.72161865234375,1.0
184000,1.6066159,999.0,8.82319,277.2961883544922,277.2961883544922,1.0
185000,1.614081,999.0,9.099897,278.0237922668457,278.0237922668457,1.0
186000,1.5795444,999.0,9.551613,280.3585615158081,280.3585615158081,1.0
187000,1.5899754,999.0,9.388626,279.30689811706543,279.30689811706543,1.0
188000,1.5943047,999.0,9.799007,282.2127151489258,282.2127151489258,1.0
189000,1.5837044,999.0,9.519802,281.8479747772217,281.8479747772217,1.0
190000,1.5930855,999.0,9.569875,281.16300773620605,281.16300773620605,1.0
191000,1.5881466,999.0,9.553616,282.5095901489258,282.5095901489258,1.0
192000,1.5969565,999.0,9.523772,281.82329177856445,281.82329177856445,1.0
193000,1.5834198,999.0,9.34459,279.4204750061035,279.4204750061035,1.0
194000,1.5718228,999.0,9.562464,281.66082286834717,281.66082286834717,1.0
195000,1.6004254,999.0,9.177056,279.7724895477295,279.7724895477295,1.0
196000,1.5684682,999.0,9.945098,282.7981901168823,282.7981901168823,1.0
197000,1.5669008,999.0,9.965183,279.45591163635254,279.45591163635254,1.0
198000,1.5733885,999.0,10.049021,281.5489730834961,281.5489730834961,1.0
199000,1.5782349,999.0,10.153672,280.4690113067627,280.4690113067627,1.0
200000,1.5634671,569.0,10.130724,156.47770762443542,156.47770762443542,1.0
201000,1.567579,999.0,10.000805,281.9053134918213,281.9053134918213,1.0
202000,1.5782555,None,10.157315,None,None,1.0
203000,1.564791,999.0,10.021297,282.5291385650635,282.5291385650635,1.0
204000,1.5646203,999.0,10.043054,282.97386360168457,282.97386360168457,1.0
205000,1.5635219,None,9.9318285,None,None,1.0
206000,1.5598257,999.0,10.3160715,281.50954008102417,281.50954008102417,1.0
207000,1.5614518,717.5,10.304722,199.90878582000732,199.90878582000732,1.0
208000,1.5349811,None,10.504707,None,None,1.0
209000,1.5349654,999.0,10.637411,282.5181694030762,282.5181694030762,1.0
210000,1.572503,999.0,10.374531,283.21238565444946,283.21238565444946,1.0
211000,1.5264996,None,10.4940605,None,None,1.0
212000,1.5309813,999.0,10.607391,284.31745433807373,284.31745433807373,1.0
213000,1.571287,999.0,10.379792,281.39802169799805,281.39802169799805,1.0
214000,1.5447925,None,10.4341,None,None,1.0
215000,1.5412713,830.5,10.370695,184.0620460510254,184.0620460510254,1.0
216000,1.5217397,999.0,10.447687,282.43334674835205,282.43334674835205,1.0
217000,1.5255692,None,10.98292,None,None,1.0
218000,1.5068845,999.0,11.045528,283.4469795227051,283.4469795227051,1.0
219000,1.5288994,999.0,10.892708,284.1724443435669,284.1724443435669,1.0
220000,1.5331303,None,10.955801,None,None,1.0
