Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Is Training
24000,2.173551,89.0,0.07771486,0.60711145,0.3278131,7.445192240751707,7.445192240751707,23.474003539635586,1.6549061834812164,1.0
25000,2.1733372,101.4,0.06709056,0.5729693,0.32151768,8.542506569623947,8.542506569623947,26.88424462080002,1.8936511892825365,1.0
26000,2.1742527,89.6923076923077,0.029326309,0.58780026,0.3455923,7.966602871815364,7.966602871815364,26.152310689290363,1.7619885639287531,1.0
27000,2.176196,89.4,0.12057056,0.49374312,0.3184542,5.878097496249459,5.878097496249459,23.425950288772583,1.716479216786948,1.0
28000,2.171199,106.44444444444444,0.027738405,0.4648564,0.32184902,8.177513427204556,8.177513427204556,27.276482264200848,1.7971367902225919,1.0
29000,2.1735642,99.6,-0.0058009764,0.5364514,0.33875334,8.320269584655762,8.320269584655762,24.200739014148713,1.7052154943346978,1.0
30000,2.1725624,76.92857142857143,-0.026689483,0.57906175,0.3473313,6.01310480137666,6.01310480137666,19.56811360021432,1.3455278376592712,1.0
31000,2.165253,88.6,0.009095425,0.6645701,0.31899446,5.802283254536715,5.802283254536715,23.66717025908557,1.5084422463551164,1.0
32000,2.1364698,111.83333333333333,0.19720328,1.1725042,0.42530847,7.946377328463963,7.946377328463963,17.954529847417557,1.4505028171198708,1.0
33000,2.1361384,130.625,0.11220954,1.2623332,0.41483837,13.71122644841671,13.71122644841671,20.934612046927214,1.261046753730625,1.0
34000,2.1439197,177.83333333333334,0.26052806,1.1472776,0.41901058,17.118375957012177,17.118375957012177,28.74349598089854,1.984622438127796,1.0
35000,2.139625,115.4,0.24554928,1.2202739,0.4663474,12.881320238113403,12.881320238113403,18.898004902733696,1.2595160065425768,1.0
36000,2.1470191,264.0,0.33556813,1.0461669,0.4409131,21.413466612497967,21.413466612497967,29.692111015319824,2.015734722216924,1.0
37000,2.1423786,212.57142857142858,0.25074106,1.1278821,0.43972555,24.522899636200496,24.522899636200496,34.19801981960024,2.212042993791069,1.0
38000,2.1418915,137.33333333333334,0.17238301,1.2180237,0.4429802,15.140563825766245,15.140563825766245,22.30181767543157,1.5424915481513988,1.0
39000,2.143579,103.0,0.27525693,1.1099371,0.41991958,7.932202356202262,7.932202356202262,16.550742830548966,1.158546544611454,1.0
40000,2.1457186,185.14285714285714,0.27809638,1.04859,0.44396105,22.326112610953196,22.326112610953196,30.534334761755808,2.2235512668183737,1.0
41000,2.1350415,136.0,0.1250354,1.1831573,0.4613019,14.468506887555122,14.468506887555122,21.923798825591803,1.5999930522375507,1.0
