Steps,Policy/Entropy,Environment/Episode Length,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/GAIL Reward,Is Training
91000,2.0832217,None,2.010382,None,None,1.0
92000,2.060993,None,2.0639722,None,None,1.0
93000,2.0741906,629.0,2.1760361,35.15817447900772,14.67718043923378,1.0
94000,2.0724409,236.0,2.164227,16.77619457244873,6.359328091144562,1.0
95000,2.0809333,255.0,2.0471473,15.125957369804382,1.533357948064804,1.0
96000,2.1017733,909.0,2.1247978,53.20974665135145,15.205014303326607,1.0
97000,2.0852714,181.0,2.1032126,9.544193744659424,3.6290795604387918,1.0
98000,2.090492,266.2857142857143,2.1570358,12.1202307002885,5.496937899983355,1.0
99000,2.0880654,332.5,2.080225,14.468720823526382,6.016240805387497,1.0
100000,2.0617208,185.0,2.1586473,9.84724473953247,1.8030629456043243,1.0
101000,2.0815578,555.75,2.0877447,31.794254034757614,9.298726689070463,1.0
102000,2.0570328,332.0,2.2370923,9.723743081092834,14.13523280620575,1.0
103000,2.0919352,283.85714285714283,2.126421,15.26602863073349,4.618609616160393,1.0
104000,2.0944247,77.55555555555556,2.2131872,3.858842069452459,3.0536788295615804,1.0
105000,2.06647,356.3333333333333,2.6279745,14.707510232925415,72.40060243476182,1.0
106000,2.0930507,276.0,2.2475228,15.468974669774374,4.9105418001612025,1.0
107000,2.0894566,205.0,2.279864,10.173442780971527,5.644679933786392,1.0
108000,2.087903,163.6,2.165535,6.153985583782196,1.9983776955399661,1.0
109000,2.1163785,99.58333333333333,2.2145905,3.93893430630366,1.529839564114809,1.0
110000,2.1027157,103.42857142857143,2.371821,5.744704740388053,1.9345118807894843,1.0
111000,2.103204,151.44444444444446,2.3110654,9.381337543328604,2.3621851863863412,1.0
112000,2.081787,239.0,2.0845742,18.39764964580536,3.05267371237278,1.0
113000,2.096197,119.78571428571429,2.231251,7.086518719792366,2.642034295204212,1.0
114000,2.1079967,67.6923076923077,2.604307,1.7663129601213667,2.5073574045272835,1.0
115000,2.1161232,81.3,2.34849,2.3464972864497793,1.4724157063121146,1.0
116000,2.1298506,64.1875,2.3245993,1.6957967542111874,0.8497864936944097,1.0
117000,2.1091545,49.55,2.4186869,-0.02613644003868103,1.0400605780771002,1.0
118000,2.1252868,62.0625,2.4367995,1.794421136379242,1.0057664819178171,1.0
119000,2.11896,92.1,2.447514,3.4910710752010345,1.6856342125684023,1.0
120000,2.1278267,122.33333333333333,2.2466676,5.743075218465593,3.2331620558268495,1.0
121000,2.1319284,86.27272727272727,2.321904,2.393461498347196,1.152972173961726,1.0
122000,2.1113868,94.0909090909091,2.2605612,3.704826658964157,1.3237173126079143,1.0
123000,2.1223462,38.38095238095238,2.471695,0.998927585103295,1.0369393187151714,1.0
124000,2.1241636,54.38095238095238,2.4920995,1.771423266047523,0.9716259142650026,1.0
125000,2.1158369,47.63636363636363,2.6077359,-1.021384488968622,0.9720508603467828,1.0
126000,2.132393,49.0,2.6635249,1.3782908350229264,1.0233329324051739,1.0
127000,2.1303115,45.3,2.6001694,0.8766070689473834,1.0408605427503408,1.0
128000,2.1210823,45.86363636363637,2.8594732,0.7813609161160209,0.7060421248051253,1.0
129000,2.1250117,48.421052631578945,2.485819,1.0292263825734456,0.7293997092379464,1.0
130000,2.129508,42.083333333333336,2.5567164,0.2740078687667847,0.8025913934037089,1.0
131000,2.1202807,47.18181818181818,2.591729,0.31971724737774243,1.0648914950222454,1.0
132000,2.1362555,45.69565217391305,2.560135,0.8688489141918364,0.8531598929507059,1.0
133000,2.1292272,34.55555555555556,2.5390544,-0.7925626358815602,0.5240253739591155,1.0
134000,2.111304,37.46153846153846,2.7001429,-0.8040008155199198,1.0627746602090506,1.0
135000,2.0807583,41.0,2.6568651,-0.8845296475020322,3.0928416783836754,1.0
136000,2.1020622,32.36363636363637,2.7341647,-0.4368968427181244,0.5843400523066521,1.0
137000,2.112576,54.83870967741935,2.740773,-0.6179495376925315,8.235311739867832,1.0
138000,2.111769,28.5,2.8011487,-1.141065569484935,0.5461121186175767,1.0
139000,2.114209,40.75,2.7057376,-1.1606060490012169,1.2608394888811745,1.0
140000,2.0907824,53.94117647058823,2.812558,-2.022647146792973,3.3692108699504066,1.0
141000,2.1134253,35.689655172413794,2.9241965,-0.6621323392308992,0.7752057549318877,1.0
142000,2.121415,33.2,2.7148056,-0.3602141479651133,0.9308053304751714,1.0
143000,2.1136346,35.03846153846154,2.7451599,-0.42657602062592137,0.9807408995536837,1.0
144000,2.1062186,32.0,2.8174675,-1.289532336695441,2.6624259784303863,1.0
145000,2.0736408,44.78260869565217,3.19689,-1.364042008916537,1.710013449135701,1.0
146000,2.0856197,34.5,2.8776302,-0.7732806290899005,1.368970218407672,1.0
147000,2.0872078,23.804878048780488,3.0460377,-1.7238746060103904,0.4335084478484421,1.0
148000,2.093271,30.79310344827586,2.8928633,-1.3310136568957363,0.3927457681375331,1.0
149000,2.0729628,26.025641025641026,3.1617088,-1.8082403525328026,0.9073489872165598,1.0
150000,2.084635,25.676470588235293,2.9045036,-1.7578784482819694,0.4130167726959501,1.0
151000,2.0916505,39.96296296296296,2.8604875,-0.36328510825450605,3.5919310332354737,1.0
152000,2.0734334,34.25,3.0946972,-1.4519675799778529,1.3721019602786717,1.0
153000,2.087871,34.92857142857143,2.8799162,-1.2504635666097914,0.7748352310487202,1.0
154000,2.0995195,30.0625,2.8393376,-1.235938586294651,0.6863150065764785,1.0
155000,2.0378332,22.58139534883721,3.200926,-1.5842834329882334,0.3437291761470396,1.0
156000,2.0599704,23.048780487804876,3.2270389,-2.326385670318836,0.34671159008256636,1.0
157000,2.0426953,25.23076923076923,3.2625065,-1.516648452532919,0.5304979911123059,1.0
158000,2.0508657,35.44444444444444,3.206485,-2.284892632492951,1.1832759454846382,1.0
159000,2.0558033,32.0,3.1628451,-1.0053541230097893,0.71965329219859,1.0
160000,2.0592687,26.97222222222222,3.0985851,-1.359653491112921,0.5454890376163853,1.0
161000,2.042879,23.794871794871796,3.1518695,-1.349119266638389,0.5665013431713212,1.0
162000,2.0408108,20.869565217391305,3.1906502,-1.9212432412997535,0.34274542461270874,1.0
163000,2.0393903,22.904761904761905,3.2032604,-2.180438837834767,0.39530602523258757,1.0
164000,1.9796152,42.73913043478261,3.1984196,-2.124257126580114,0.7128980548485465,1.0
165000,2.0028007,26.416666666666668,3.4331703,-2.017793842487865,0.9622605571316348,1.0
166000,2.058903,49.65,3.1461782,-1.0164785173378492,4.651935409141802,1.0
167000,2.037519,21.47826086956522,3.5445194,-2.6307641077041626,0.31769298791885375,1.0
168000,1.9991256,47.86666666666667,3.4936187,-1.911296283376628,2.9496971819874425,1.0
169000,1.9869642,21.545454545454547,3.4736147,-3.013176943449413,0.30032989777186336,1.0
170000,2.0010104,26.23913043478261,3.4813735,-1.668418683608373,0.9137878209171403,1.0
171000,2.0173066,23.022727272727273,3.4912872,-1.7112439732218898,0.30556282435738763,1.0
172000,2.0016315,19.804347826086957,3.4830582,-1.9747151745126603,0.28922733505989645,1.0
173000,1.9979709,19.8125,3.4280744,-2.3887546751648188,0.2746775961325814,1.0
174000,1.973957,41.526315789473685,3.256937,-1.1813443019986152,1.5407595630737547,1.0
175000,1.91114,19.4,3.4173224,-1.2289502759774527,0.22020311951637267,1.0
176000,1.9153278,18.666666666666668,3.5546393,-2.779105074265424,0.14941419266602574,1.0
177000,1.9075402,86.34482758620689,3.562823,-2.7722396172326187,0.43112851168703414,1.0
178000,1.9639069,17.91304347826087,3.7085617,-2.2181354271976845,0.19264105739800827,1.0
179000,1.9771707,27.0,3.7197564,-1.341769053041935,0.40649373424239454,1.0
180000,1.9436889,20.25531914893617,3.830761,-2.2682775018063,0.3256563144795438,1.0
181000,1.9806017,27.72222222222222,3.6581514,-1.2542857783181327,0.7950072151475719,1.0
182000,1.95681,18.4,3.7031283,-2.216862615417032,0.173726247075726,1.0
183000,1.9615057,18.58823529411765,3.6911728,-2.0776819294574214,0.2026592547110483,1.0
184000,1.9658982,23.925,3.5901392,-1.878127821534872,0.4946347814053297,1.0
