Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
267000,1.3198482,10.774743,999.0,285.24414920806885,285.24414920806885,1.0
268000,1.3184822,11.213681,999.0,287.28010082244873,287.28010082244873,1.0
269000,1.3285413,11.314132,999.0,None,None,1.0
270000,1.3213174,11.343706,999.0,286.04599618911743,286.04599618911743,1.0
271000,1.3277942,11.303707,999.0,284.67238426208496,284.67238426208496,1.0
272000,1.3139476,11.331886,999.0,None,None,1.0
273000,1.316059,11.362883,999.0,284.925235748291,284.925235748291,1.0
274000,1.3229846,11.229048,982.0,277.89047718048096,277.89047718048096,1.0
275000,1.2941241,11.384048,999.0,None,None,1.0
276000,1.3134578,11.3496895,999.0,284.6191306114197,284.6191306114197,1.0
277000,1.3086245,11.368004,999.0,284.52433586120605,284.52433586120605,1.0
278000,1.306892,11.647737,999.0,None,None,1.0
279000,1.3029605,11.886783,999.0,284.87240743637085,284.87240743637085,1.0
280000,1.328528,11.86427,999.0,285.32893562316895,285.32893562316895,1.0
281000,1.317106,11.891728,999.0,None,None,1.0
282000,1.2996911,11.92201,999.0,285.1612277030945,285.1612277030945,1.0
283000,1.2970005,11.9046955,999.0,285.47544956207275,285.47544956207275,1.0
284000,1.3142724,11.9004135,999.0,None,None,1.0
285000,1.3117,11.872753,999.0,285.20273447036743,285.20273447036743,1.0
286000,1.3137715,11.89468,999.0,285.5817003250122,285.5817003250122,1.0
287000,1.2973598,11.900605,999.0,None,None,1.0
288000,1.2922329,11.9988,999.0,287.0848550796509,287.0848550796509,1.0
289000,1.2747432,12.277357,969.0,274.87153816223145,274.87153816223145,1.0
290000,1.2828803,12.418933,999.0,None,None,1.0
291000,1.2964205,12.362852,999.0,284.8590741157532,284.8590741157532,1.0
292000,1.2977201,12.395399,999.0,284.32784843444824,284.32784843444824,1.0
293000,1.281977,12.426828,999.0,None,None,1.0
294000,1.2774444,12.412952,999.0,285.0861186981201,285.0861186981201,1.0
295000,1.2843553,12.472177,999.0,286.78002548217773,286.78002548217773,1.0
296000,1.270759,12.404394,999.0,None,None,1.0
297000,1.2742288,12.442106,999.0,286.34792613983154,286.34792613983154,1.0
298000,1.2737116,12.411882,999.0,285.1119956970215,285.1119956970215,1.0
299000,1.2829719,12.637412,999.0,None,None,1.0
300000,1.2854936,12.680175,999.0,286.763099193573,286.763099193573,1.0
